target_id	length	eff_length	est_counts	tpm
Solyc06g043170.3.1	2786	2607	55.2978	11.3082
Solyc05g010600.3.1	1637	1458	0	0
Solyc04g017960.2.1	150	9.35544	0	0
Solyc04g045315.1.1	1611	1432	0	0
Solyc04g072770.3.1	3093	2914	0	0
Solyc01g015070.3.1	608	429	0	0
Solyc08g076580.2.1	758	579	0	0
Solyc08g008480.2.1	1106	927	0	0
Solyc01g014103.1.1	1428	1249	17	7.25627
Solyc04g011650.3.1	2656	2477	81	17.4335
Solyc11g065557.1.1	2040	1861	1	0.286471
Solyc04g049610.3.1	4183	4004	23.2251	3.09236
Solyc02g087935.1.1	2256	2077	192.836	49.4968
Solyc02g085370.3.1	4460	4281	4.4134	0.54961
Solyc01g095480.3.1	2429	2250	84.0246	19.909
Solyc05g044580.3.1	629	450	0	0
Solyc02g065220.3.1	3659	3480	504.575	77.2988
Solyc04g017890.2.1	969	790	0	0
Solyc05g009620.3.1	2000	1821	0	0
Solyc07g025390.3.1	1666	1487	44	15.775
Solyc01g090660.3.1	2518	2339	0	0
Solyc11g020875.1.1	1848	1669	0	0
Solyc12g035822.1.1	447	268	0	0
Solyc08g016080.3.1	2196	2017	176	46.5193
Solyc07g039230.2.1	345	166	0	0
Solyc06g048800.2.1	648	469	0	0
Solyc06g016800.2.1	933	754	0	0
Solyc09g090530.3.1	861	682	0	0
Solyc04g009610.2.1	353	174	0	0
Solyc07g055960.2.1	123	6.43085	0	0
Solyc11g007670.2.1	3293	3114	143	24.4818
Solyc03g116240.3.1	330	151	0	0
Solyc01g109210.2.1	1641	1462	25.4272	9.27209
Solyc08g062290.3.1	1120	941	3.54443	2.00809
Solyc11g062120.2.1	3045	2866	7	1.30211
Solyc05g006680.3.1	2159	1980	182	49.0042
Solyc07g009550.2.1	324	145	0	0
Solyc02g093650.3.1	2422	2243	0	0
Solyc06g070910.2.1	1456	1277	0	0
Solyc05g013120.3.1	1106	927	2	1.15021
Solyc12g039000.2.1	716	537	0	0
Solyc04g072750.2.1	239	60.0956	0	0
Solyc04g080560.2.1	417	238	0	0
Solyc06g007110.3.1	3157	2978	59	10.5622
Solyc03g005480.3.1	1679	1500	6	2.13249
Solyc07g062550.3.1	2545	2366	0	0
Solyc05g005210.3.1	1678	1499	17	6.04608
Solyc08g016440.3.1	989	810	0	0
Solyc01g049640.2.1	399	220	0	0
Solyc08g028915.1.1	360	181	0	0
Solyc09g083240.3.1	647	468	0	0
Solyc09g056410.2.1	678	499	0	0
Solyc03g059050.2.1	1051	872	10	6.11379
Solyc04g054660.2.1	555	376	0.959545	1.36052
Solyc10g080940.2.1	2583	2404	359.935	79.8208
Solyc04g005680.3.1	1979	1800	285.308	84.5021
Solyc05g051290.3.1	1387	1208	47	20.7423
Solyc04g050440.3.1	1797	1618	0	0
Solyc01g059853.1.1	516	337	0	0
Solyc03g078580.3.1	543	364	0	0
Solyc01g106930.3.1	562	383	0	0
Solyc07g005590.3.1	4253	4074	253.955	33.2325
Solyc06g007680.2.1	2063	1884	29	8.20623
Solyc01g089960.3.1	1197	1018	0	0
Solyc03g006120.3.1	1661	1482	19	6.8349
Solyc07g054000.3.1	701	522	0	0
Solyc02g032360.3.1	521	342	0	0
Solyc02g089140.2.1	447	268	0	0
Solyc03g062910.3.1	5017	4838	31.2477	3.44333
Solyc08g014020.3.1	624	445	17	20.3665
Solyc06g043113.1.1	1455	1276	0	0
Solyc01g150007.1.1	444	265	0	0
Solyc09g031543.1.1	4368	4189	0	0
Solyc08g067670.3.1	656	477	1	1.11766
Solyc10g084180.2.1	3498	3319	345	55.4164
Solyc07g041510.2.1	3769	3590	507	75.2905
Solyc03g118770.3.1	1385	1206	0	0
Solyc07g024015.1.1	8967	8788	0	0
Solyc07g009360.2.1	363	184	0	0
Solyc03g082950.3.1	878	699	0	0
Solyc11g022440.2.1	258	79.0036	0	0
Solyc03g019970.3.1	1779	1600	0	0
Solyc01g006790.2.1	731	552	4	3.8632
Solyc05g018220.2.1	558	379	0	0
Solyc01g107220.2.1	1167	988	0	0
Solyc05g051340.2.1	2629	2450	22	4.78722
Solyc09g075840.3.1	328	149	0	0
Solyc03g058370.2.1	1017	838	0	0
Solyc05g007250.3.1	1074	895	162.964	97.0723
Solyc04g048980.3.1	553	374	0	0
Solyc01g011091.1.1	8096	7917	54.3857	3.66227
Solyc04g051680.3.1	2052	1873	0	0
Solyc04g082200.2.1	1157	978	2247	1224.87
Solyc11g044632.1.1	686	507	0	0
Solyc06g007430.2.1	2112	1933	491	135.418
Solyc08g036560.2.1	741	562	1	0.948616
Solyc01g090340.2.1	988	809	0	0
Solyc08g076720.3.1	4114	3935	646	87.5214
Solyc02g068930.3.1	1005	826	8	5.16341
Solyc01g095170.2.1	922	743	85	60.9897
Solyc07g018400.3.1	174	14.6185	0	0
Solyc07g006300.3.1	2508	2329	192	43.95
Solyc09g072910.2.1	1314	1135	0	0
Solyc08g075320.3.1	2532	2353	10	2.26571
Solyc03g044273.1.1	5441	5262	6	0.607893
Solyc09g005730.3.1	735	556	0	0
Solyc04g079830.2.1	2469	2290	13	3.02646
Solyc07g041820.2.1	3138	2959	0	0
Solyc01g044510.2.1	547	368	1	1.4487
Solyc03g071853.1.1	894	715	0	0
Solyc01g095070.3.1	869	690	459	354.642
Solyc06g007890.3.1	568	389	0	0
Solyc09g055610.2.1	105	5.29865	0	0
Solyc04g009590.3.1	568	389	0	0
Solyc02g077240.3.1	2165	1986	153	41.0713
