target_id	length	eff_length	est_counts	tpm
Solyc06g043170.3.1	2786	2607	90	10.8164
Solyc05g010600.3.1	1637	1458	0	0
Solyc04g017960.2.1	150	9.35544	0	0
Solyc04g045315.1.1	1611	1432	0	0
Solyc04g072770.3.1	3093	2914	4	0.430081
Solyc01g015070.3.1	608	429	0	0
Solyc08g076580.2.1	758	579	0	0
Solyc08g008480.2.1	1106	927	0	0
Solyc01g014103.1.1	1428	1249	4	1.00341
Solyc04g011650.3.1	2656	2477	841	106.378
Solyc11g065557.1.1	2040	1861	0	0
Solyc04g049610.3.1	4183	4004	25	1.95626
Solyc02g087935.1.1	2256	2077	91.0613	13.7365
Solyc02g085370.3.1	4460	4281	7.72345	0.565257
Solyc01g095480.3.1	2429	2250	93.5769	13.0307
Solyc05g044580.3.1	629	450	0	0
Solyc02g065220.3.1	3659	3480	67.9092	6.11405
Solyc04g017890.2.1	969	790	0	0
Solyc05g009620.3.1	2000	1821	0	0
Solyc07g025390.3.1	1666	1487	51	10.7458
Solyc01g090660.3.1	2518	2339	0	0
Solyc11g020875.1.1	1848	1669	0	0
Solyc12g035822.1.1	447	268	5	5.84541
Solyc08g016080.3.1	2196	2017	93	14.4463
Solyc07g039230.2.1	345	166	0	0
Solyc06g048800.2.1	648	469	0	0
Solyc06g016800.2.1	933	754	0	0
Solyc09g090530.3.1	861	682	0	0
Solyc04g009610.2.1	353	174	2	3.60131
Solyc07g055960.2.1	123	6.43085	0	0
Solyc11g007670.2.1	3293	3114	180	18.1106
Solyc03g116240.3.1	330	151	0	0
Solyc01g109210.2.1	1641	1462	12.0891	2.59077
Solyc08g062290.3.1	1120	941	0	0
Solyc11g062120.2.1	3045	2866	48	5.24741
Solyc05g006680.3.1	2159	1980	205	32.4391
Solyc07g009550.2.1	324	145	0	0
Solyc02g093650.3.1	2422	2243	0	0
Solyc06g070910.2.1	1456	1277	0	0
Solyc05g013120.3.1	1106	927	0	0
Solyc12g039000.2.1	716	537	0	0
Solyc04g072750.2.1	239	60.0956	0	0
Solyc04g080560.2.1	417	238	0	0
Solyc06g007110.3.1	3157	2978	192	20.2002
Solyc03g005480.3.1	1679	1500	0	0
Solyc07g062550.3.1	2545	2366	25	3.31059
Solyc05g005210.3.1	1678	1499	83	17.3483
Solyc08g016440.3.1	989	810	0	0
Solyc01g049640.2.1	399	220	0	0
Solyc08g028915.1.1	360	181	2	3.46203
Solyc09g083240.3.1	647	468	12	8.03369
Solyc09g056410.2.1	678	499	0	0
Solyc03g059050.2.1	1051	872	2	0.71861
Solyc04g054660.2.1	555	376	0	0
Solyc10g080940.2.1	2583	2404	303.936	39.612
Solyc04g005680.3.1	1979	1800	451.905	78.6602
Solyc05g051290.3.1	1387	1208	256	66.3977
Solyc04g050440.3.1	1797	1618	0	0
Solyc01g059853.1.1	516	337	0	0
Solyc03g078580.3.1	543	364	1	0.860753
Solyc01g106930.3.1	562	383	1	0.818052
Solyc07g005590.3.1	4253	4074	360.409	27.7175
Solyc06g007680.2.1	2063	1884	25	4.15756
Solyc01g089960.3.1	1197	1018	3	0.923322
Solyc03g006120.3.1	1661	1482	0	0
Solyc07g054000.3.1	701	522	0	0
Solyc02g032360.3.1	521	342	0	0
Solyc02g089140.2.1	447	268	0	0
Solyc03g062910.3.1	5017	4838	16	1.03618
Solyc08g014020.3.1	624	445	66.5838	46.8801
Solyc06g043113.1.1	1455	1276	2.40664	0.590935
Solyc01g150007.1.1	444	265	0	0
Solyc09g031543.1.1	4368	4189	2	0.149589
Solyc08g067670.3.1	656	477	0	0
Solyc10g084180.2.1	3498	3319	372	35.1169
Solyc07g041510.2.1	3769	3590	253	22.0804
Solyc03g118770.3.1	1385	1206	3	0.779388
Solyc07g024015.1.1	8967	8788	0	0
Solyc07g009360.2.1	363	184	0	0
Solyc03g082950.3.1	878	699	0	0
Solyc11g022440.2.1	258	79.0036	0	0
Solyc03g019970.3.1	1779	1600	4	0.783285
Solyc01g006790.2.1	731	552	200	113.52
Solyc05g018220.2.1	558	379	0	0
Solyc01g107220.2.1	1167	988	0	0
Solyc05g051340.2.1	2629	2450	14	1.79037
Solyc09g075840.3.1	328	149	0	0
Solyc03g058370.2.1	1017	838	0	0
Solyc05g007250.3.1	1074	895	116.613	40.823
Solyc04g048980.3.1	553	374	0	0
Solyc01g011091.1.1	8096	7917	33.0199	1.30676
Solyc04g051680.3.1	2052	1873	4	0.669117
Solyc04g082200.2.1	1157	978	2255	722.416
Solyc11g044632.1.1	686	507	0	0
Solyc06g007430.2.1	2112	1933	330	53.4887
Solyc08g036560.2.1	741	562	1	0.557498
Solyc01g090340.2.1	988	809	5	1.93643
Solyc08g076720.3.1	4114	3935	112	8.91771
Solyc02g068930.3.1	1005	826	11	4.17246
Solyc01g095170.2.1	922	743	4	1.68675
Solyc07g018400.3.1	174	14.6185	0	0
Solyc07g006300.3.1	2508	2329	1287	173.137
Solyc09g072910.2.1	1314	1135	0	0
Solyc08g075320.3.1	2532	2353	49.2273	6.55487
Solyc03g044273.1.1	5441	5262	3	0.178628
Solyc09g005730.3.1	735	556	159	89.5988
Solyc04g079830.2.1	2469	2290	89	12.1768
Solyc07g041820.2.1	3138	2959	2.97442	0.314947
Solyc01g044510.2.1	547	368	0	0
Solyc03g071853.1.1	894	715	5	2.19101
Solyc01g095070.3.1	869	690	1354	614.822
Solyc06g007890.3.1	568	389	0	0
Solyc09g055610.2.1	105	5.29865	0	0
Solyc04g009590.3.1	568	389	0	0
Solyc02g077240.3.1	2165	1986	54	8.51911
Solyc03g083100.3.1	1862	1683	180	33.5095
Solyc08g006645.1.1	406	227	0	0
Solyc04g007825.1.1	1329	1150	5	1.36224
Solyc03g044060.3.1	3067	2888	7	0.759418
Solyc06g008980.3.1	1496	1317	14	3.3306
Solyc10g050757.1.1	1464	1285	0	0
Solyc01g094710.2.1	359	180	0	0
Solyc05g017830.2.1	232	53.2554	0	0
Solyc11g027940.2.1	462	283	0	0
Solyc03g034130.3.1	840	661	0	0
Solyc04g011990.2.1	3364	3185	0	0
Solyc07g017560.3.1	2822	2643	1581	187.419
Solyc01g005380.2.1	1818	1639	18.9115	3.61516
Solyc12g005820.2.1	826	647	7	3.3898
Solyc03g116170.3.1	1234	1055	34	10.0973
Solyc04g016010.3.1	2019	1840	8.41143	1.43229
Solyc12g098590.2.1	2992	2813	25	2.78452
Solyc03g082575.1.1	2097	1918	71.429	11.6682
Solyc09g020070.2.1	1401	1222	0	0
Solyc07g017330.2.1	730	551	0	0
Solyc01g021700.2.1	1146	967	0	0
Solyc09g055550.3.1	1685	1506	0	0
Solyc01g014537.1.1	654	475	0	0
Solyc03g098750.3.1	1586	1407	817	181.931
Solyc06g054230.3.1	1995	1816	5	0.862649
Solyc09g010340.2.1	1272	1093	0	0
Solyc06g043140.3.1	1035	856	0	0
Solyc03g034165.1.1	1203	1024	0	0
Solyc01g012640.2.1	561	382	0	0
Solyc05g023660.2.1	1239	1060	1	0.295579
Solyc11g008140.2.1	1826	1647	16	3.04373
Solyc02g062930.3.1	1567	1388	11	2.48304
Solyc08g066400.2.1	953	774	0	0
Solyc10g036690.2.1	93	4.74468	0	0
Solyc09g011710.3.1	939	760	319	131.509
Solyc12g096860.2.1	2683	2504	0	0
Solyc02g063040.3.1	1276	1097	8	2.28488
Solyc06g076840.2.1	2830	2651	0	0
Solyc01g056940.2.1	756	577	481	261.186
Solyc06g054620.3.1	855	676	6	2.78089
Solyc01g056270.2.1	701	522	0	0
Solyc01g020230.3.1	2531	2352	4.42825	0.589895
Solyc01g014107.1.1	766	587	0	0
Solyc06g052140.2.1	885	706	6	2.66273
Solyc05g052990.3.1	658	479	10	6.541
Solyc06g033810.2.1	609	430	0	0
Solyc01g009690.2.1	2586	2407	0	0
Solyc02g078420.2.1	309	130	0	0
Solyc07g041240.2.1	468	289	0	0
Solyc12g038770.2.1	729	550	0	0
Solyc06g052080.3.1	2780	2601	138	16.6234
Solyc11g020740.2.1	90	4.62459	0	0
Solyc01g014180.3.1	976	797	574	225.649
Solyc12g038350.2.1	872	693	0	0
Solyc03g031650.3.1	738	559	49	27.464
Solyc11g072410.2.1	2582	2403	61.646	8.03768
Solyc06g008100.3.1	663	484	2	1.29469
Solyc09g083445.1.1	618	439	4	2.8548
Solyc06g064740.3.1	358	179	0	0
Solyc02g062260.2.1	226	47.5399	0	0
Solyc11g006650.2.1	2753	2574	7	0.852059
Solyc10g008330.3.1	689	510	0	0
Solyc10g036640.2.1	240	61.0822	0	0
Solyc11g063580.2.1	291	112	0	0
Solyc01g111080.3.1	23222	23043	226.026	3.07325
